subject,task,task_display,group,value
sub-004,j7,J7,Default,0.32261561999070143
sub-004,j8,J8,Subcortical,0.2766564967747151
sub-004,j8,J8,Visual,0.4114074736352116
sub-004,j8,J8,Somato-Motor,0.4283238069561297
sub-004,j8,J8,Dorsal Attention,0.4737906007798457
sub-004,j8,J8,Salience/Ventral Attention,0.44752738926504015
sub-004,j8,J8,Limbic,0.19756943374836805
sub-004,j8,J8,Control,0.393471518627517
sub-004,j8,J8,Default,0.3310363244016107
sub-006,memory,Memory,Subcortical,0.33696375237289494
sub-006,memory,Memory,Visual,0.47393928009895747
sub-006,memory,Memory,Somato-Motor,0.4893941278340067
sub-006,memory,Memory,Dorsal Attention,0.4835683682506297
sub-006,memory,Memory,Salience/Ventral Attention,0.5200566786279802
sub-006,memory,Memory,Limbic,0.3318498841710037
sub-006,memory,Memory,Control,0.4842989177964103
sub-006,memory,Memory,Default,0.44794332766603384
sub-006,counting,Counting,Subcortical,0.37500746786224426
sub-006,counting,Counting,Visual,0.653427989689406
sub-006,counting,Counting,Somato-Motor,0.6534538876520548
sub-006,counting,Counting,Dorsal Attention,0.652516838301982
sub-006,counting,Counting,Salience/Ventral Attention,0.6278359436369557
sub-006,counting,Counting,Limbic,0.43921975854468465
sub-006,counting,Counting,Control,0.6312920069775725
sub-006,counting,Counting,Default,0.608920762743229
sub-006,j1,J1,Subcortical,0.41362948439625313
sub-006,j1,J1,Visual,0.6015737428927208
sub-006,j1,J1,Somato-Motor,0.6482252156487037
sub-006,j1,J1,Dorsal Attention,0.6292222976439394
sub-006,j1,J1,Salience/Ventral Attention,0.6154614215872429
sub-006,j1,J1,Limbic,0.39651890363643977
sub-006,j1,J1,Control,0.6456457541431365
sub-006,j1,J1,Default,0.5630209828276397
sub-006,j2,J2,Subcortical,0.3276569030787247
sub-006,j2,J2,Visual,0.4687237566138476
sub-006,j2,J2,Somato-Motor,0.5201850774989375
sub-006,j2,J2,Dorsal Attention,0.5071342262662657
sub-006,j2,J2,Salience/Ventral Attention,0.5164961672784966
sub-006,j2,J2,Limbic,0.3144798509019707
sub-006,j2,J2,Control,0.5152172985199716
sub-006,j2,J2,Default,0.4451387281119475
sub-006,j3,J3,Subcortical,0.2031083948168223
sub-006,j3,J3,Visual,0.3860768948940872
sub-006,j3,J3,Somato-Motor,0.43476210847857505
sub-006,j3,J3,Dorsal Attention,0.4327714109264358
sub-006,j3,J3,Salience/Ventral Attention,0.44335137319407475
sub-006,j3,J3,Limbic,0.22702085320700444
sub-006,j3,J3,Control,0.433734019555618
sub-006,j3,J3,Default,0.38647959156615586
sub-006,j4,J4,Subcortical,0.2691630161164897
sub-006,j4,J4,Visual,0.463261335734626
sub-006,j4,J4,Somato-Motor,0.335172669445884
sub-006,j4,J4,Dorsal Attention,0.3300723497688372
sub-006,j4,J4,Salience/Ventral Attention,0.33332931524600884
sub-006,j4,J4,Limbic,0.27344726954599763
sub-006,j4,J4,Control,0.4446456790839685
sub-006,j4,J4,Default,0.43309602378038203
sub-006,j5,J5,Subcortical,0.14826686847086348
sub-006,j5,J5,Visual,0.4030558265026427
sub-006,j5,J5,Somato-Motor,0.358396067770906
sub-006,j5,J5,Dorsal Attention,0.41109038330525405
sub-006,j5,J5,Salience/Ventral Attention,0.3540382497413342
sub-006,j5,J5,Limbic,0.1899132628177665
sub-006,j5,J5,Control,0.4160027010301748
sub-006,j5,J5,Default,0.3604765177653265
sub-006,j6,J6,Subcortical,0.2788504704143044
sub-006,j6,J6,Visual,0.46802338112508496
sub-006,j6,J6,Somato-Motor,0.4345966740548969
sub-006,j6,J6,Dorsal Attention,0.5081557033830997
sub-006,j6,J6,Salience/Ventral Attention,0.44371575348977177
sub-006,j6,J6,Limbic,0.3897724991540062
sub-006,j6,J6,Control,0.5251200739437804
sub-006,j6,J6,Default,0.4734436179345524
sub-006,j7,J7,Subcortical,0.3012639911116621
sub-006,j7,J7,Visual,0.4509814990992095
sub-006,j7,J7,Somato-Motor,0.5269659752085771
sub-006,j7,J7,Dorsal Attention,0.5340662848935613
sub-006,j7,J7,Salience/Ventral Attention,0.5161377597106969
sub-006,j7,J7,Limbic,0.40014443760395296
sub-006,j7,J7,Control,0.5259313036845057
sub-006,j7,J7,Default,0.49675245893987574
sub-006,j8,J8,Subcortical,0.3170227574372194
sub-006,j8,J8,Visual,0.45694758425143434
sub-006,j8,J8,Somato-Motor,0.45761796891870077
sub-006,j8,J8,Dorsal Attention,0.45741949485792877
sub-006,j8,J8,Salience/Ventral Attention,0.4524035887841397
sub-006,j8,J8,Limbic,0.218370312976696
sub-006,j8,J8,Control,0.4954064959837836
sub-006,j8,J8,Default,0.45284397939891036
sub-007,memory,Memory,Subcortical,0.11530236566232815
sub-007,memory,Memory,Visual,0.20480955121933825
sub-007,memory,Memory,Somato-Motor,0.19769714582274484
sub-007,memory,Memory,Dorsal Attention,0.20843886365881945
sub-007,memory,Memory,Salience/Ventral Attention,0.220300958111818
sub-007,memory,Memory,Limbic,0.13373603623902058
sub-007,memory,Memory,Control,0.19146634867791673
sub-007,memory,Memory,Default,0.14176994674946602
sub-007,counting,Counting,Subcortical,0.0959256746040499
sub-007,counting,Counting,Visual,0.15841014017609265
sub-007,counting,Counting,Somato-Motor,0.16313866371248548
sub-007,counting,Counting,Dorsal Attention,0.18413166872318598
sub-007,counting,Counting,Salience/Ventral Attention,0.17193317080565804
sub-007,counting,Counting,Limbic,0.13441708792889373
sub-007,counting,Counting,Control,0.1544464150470472
sub-007,counting,Counting,Default,0.11978383467808822
sub-007,j1,J1,Subcortical,0.31901328668724555
sub-007,j1,J1,Visual,0.43123165747092357
sub-007,j1,J1,Somato-Motor,0.5250792316648797
sub-007,j1,J1,Dorsal Attention,0.5164592717575232
